##,Player,GS,MIN,REB,PF,A,TO,BLK,STL,PTS,ORB,DRB,FG_pct,3PT_pct,FT_pct,Team,Date,Won
TM,TM TEAM,0,0,3,0,0,0,0,0,0,1,2,NA,NA,NA,Tufts,2026-01-17,1
,Totals,NA,200,41,16,15,10,6,11,75,10,31,0.4067796610169492,0.3448275862068966,0.5666666666666667,Tufts,2026-01-17,1
11,"11 Murray, Ian",1,30,3,1,4,1,0,0,10,0,3,0.5,0,0.6666666666666666,Middlebury,2026-01-16,0
12,"12 Witherington, Edward",1,27,4,5,0,0,0,1,9,1,3,0.375,0.3333333333333333,1,Middlebury,2026-01-16,0
21,"21 McKersie, Jackson",1,16,3,1,0,2,0,0,5,1,2,0.6666666666666666,NA,0.5,Middlebury,2026-01-16,0
02,"02 Flaks, Evan",1,16,1,1,1,0,0,0,2,0,1,0,0,1,Middlebury,2026-01-16,0
15,"15 Fuerbacher, Justin",1,17,3,2,1,1,0,0,0,1,2,0,0,0,Middlebury,2026-01-16,0
01,"01 Cwalina, Kuba",0,25,3,1,0,0,0,0,19,1,2,0.5,0.5,0.5,Middlebury,2026-01-16,0
20,"20 Ducree, Dominick",0,25,2,2,2,2,0,1,10,2,0,0.125,0,1,Middlebury,2026-01-16,0
04,"04 Ramey, Sawyer",0,21,7,2,0,1,0,1,8,0,7,0.5,1,NA,Middlebury,2026-01-16,0
13,"13 Newell, Mark",0,11,2,5,0,1,0,1,2,0,2,0.5,NA,NA,Middlebury,2026-01-16,0
31,"31 Morrison, Henry",0,8,2,2,1,1,0,0,1,1,1,0,NA,0.5,Middlebury,2026-01-16,0
23,"23 Lee, Donovan",0,4,0,0,1,0,0,0,0,0,0,0,0,NA,Middlebury,2026-01-16,0
TM,TM Team,0,0,5,0,0,0,0,0,0,3,2,NA,NA,NA,Middlebury,2026-01-16,0
,Totals,NA,200,35,22,10,9,0,4,66,10,25,0.3559322033898305,0.25,0.7391304347826086,Middlebury,2026-01-16,0
12,12 Greg Cantwell,1,31,3,1,2,1,0,1,15,1,2,0.4166666666666667,0.3333333333333333,1,Col.,2026-01-16,1
01,01 Dylan Watson,1,26,16,1,2,0,0,0,14,9,7,0.3333333333333333,0,1,Col.,2026-01-16,1
31,31 Garrett Clar,1,31,6,2,2,1,1,0,12,2,4,0.6666666666666666,0.6666666666666666,1,Col.,2026-01-16,1
04,04 James LaFrance,1,27,4,2,0,4,1,0,10,1,3,0.2727272727272727,0.25,1,Col.,2026-01-16,1
